Campaña;Estado de la campaña;Tipo de campaña;Clics;Impr.;CTR;Código de moneda;CPC medio;Coste;Conversiones;Conv. post-impresión;Coste/conv.;Tasa de conv.
MP_MEX_Ceneval - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_MEX_Ceneval - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Saber 11 - Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Preicfes Validación- Phrase;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Presaber - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Presaber - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Presaber - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Presaber - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Presaber - Broad;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
MP_Presaber - Exact;Retirada;Buscar;0;0;0;COP;0;0;0;0;0;0
